class implementing CRTP, uses, developer, email, edit time, definition file path, line

virtual function, calls, developer, email, edit time, definition file path, line
var_expanding_copy_visitor::visit_target_symbol, //0, //graydon, //graydon, //20050810, //tapsets.cxx, //2062
c_tmpcounter::visit_array_in, //0, //graydon, //graydon, //20050813, //translate.cxx, //1816
c_tmpcounter::visit_arrayindex, //0, //fche, //fche, //20050526, //translate.cxx, //2110
c_tmpcounter::visit_assignment, //0, //fche, //fche, //20050526, //translate.cxx, //1949
c_tmpcounter::visit_binary_expression, //0, //fche, //fche, //20050608, //translate.cxx, //1705
c_tmpcounter::visit_concatenation, //0, //fche, //fche, //20050602, //translate.cxx, //1895
c_tmpcounter::visit_for_loop, //0, //fche, //fche, //20050824, //translate.cxx, //1460
c_tmpcounter::visit_foreach_loop, //0, //graydon, //graydon, //20050723, //translate.cxx, //1510
c_tmpcounter::visit_functioncall, //0, //fche, //fche, //20050526, //translate.cxx, //2274
c_tmpcounter::visit_post_crement, //0, //fche, //fche, //20050608, //translate.cxx, //1992
c_tmpcounter::visit_pre_crement, //0, //fche, //fche, //20050608, //translate.cxx, //1972
c_tmpcounter_assignment::visit_arrayindex, //0, //fche, //fche, //20050526, //translate.cxx, //2194
c_tmpcounter_assignment::visit_symbol, //0, //fche, //fche, //20050526, //translate.cxx, //2048
c_unparser::emit_common_header, //0, //fche, //fche, //20050526, //translate.cxx, //576
c_unparser::emit_function, //0, //fche, //fche, //20050526, //translate.cxx, //842
c_unparser::emit_functionsig, //0, //fche, //fche, //20050526, //translate.cxx, //697
c_unparser::emit_global, //0, //fche, //fche, //20050526, //translate.cxx, //680
c_unparser::emit_module_exit, //0, //fche, //fche, //20050526, //translate.cxx, //792
c_unparser::emit_module_init, //0, //fche, //fche, //20050526, //translate.cxx, //705
c_unparser::emit_probe, //0, //fche, //fche, //20050526, //translate.cxx, //894
c_unparser::visit_array_in, //0, //fche, //fche, //20050526, //translate.cxx, //1835
c_unparser::visit_arrayindex, //0, //graydon, //graydon, //20050720, //translate.cxx, //2155
c_unparser::visit_assignment, //0, //fche, //fche, //20050526, //translate.cxx, //1957
c_unparser::visit_binary_expression, //0, //fche, //fche, //20050608, //translate.cxx, //1721
c_unparser::visit_block, //0, //fche, //fche, //20050526, //translate.cxx, //1387
c_unparser::visit_break_statement, //0, //fche, //fche, //20050605, //translate.cxx, //1656
c_unparser::visit_comparison, //0, //fche, //fche, //20050526, //translate.cxx, //1858
c_unparser::visit_concatenation, //0, //fche, //fche, //20050526, //translate.cxx, //1905
c_unparser::visit_continue_statement, //0, //fche, //fche, //20050605, //translate.cxx, //1668
c_unparser::visit_delete_statement, //0, //fche, //fche, //20050526, //translate.cxx, //1647
c_unparser::visit_embeddedcode, //0, //fche, //fche, //20050726, //translate.cxx, //1410
c_unparser::visit_expr_statement, //0, //fche, //fche, //20050526, //translate.cxx, //1428
c_unparser::visit_for_loop, //0, //fche, //fche, //20050526, //translate.cxx, //1470
c_unparser::visit_foreach_loop, //0, //fche, //fche, //20050602, //translate.cxx, //1518
c_unparser::visit_functioncall, //0, //fche, //fche, //20050526, //translate.cxx, //2288
c_unparser::visit_if_statement, //0, //fche, //fche, //20050526, //translate.cxx, //1438
c_unparser::visit_literal_number, //0, //fche, //fche, //20050526, //translate.cxx, //1695
c_unparser::visit_literal_string, //0, //fche, //fche, //20050526, //translate.cxx, //1681
c_unparser::visit_logical_and_expr, //0, //fche, //fche, //20050526, //translate.cxx, //1800
c_unparser::visit_logical_or_expr, //0, //fche, //fche, //20050526, //translate.cxx, //1784
c_unparser::visit_next_statement, //0, //fche, //fche, //20050605, //translate.cxx, //1595
c_unparser::visit_null_statement, //0, //fche, //fche, //20050526, //translate.cxx, //1420
c_unparser::visit_post_crement, //0, //fche, //fche, //20050608, //translate.cxx, //2000
c_unparser::visit_pre_crement, //0, //fche, //fche, //20050608, //translate.cxx, //1980
c_unparser::visit_return_statement, //0, //fche, //fche, //20050526, //translate.cxx, //1576
c_unparser::visit_symbol, //0, //fche, //fche, //20050526, //translate.cxx, //2012
c_unparser::visit_target_symbol, //0, //graydon, //graydon, //20050810, //translate.cxx, //2103
c_unparser::visit_ternary_expression, //0, //fche, //fche, //20050526, //translate.cxx, //1928
c_unparser::visit_unary_expression, //0, //fche, //fche, //20050526, //translate.cxx, //1772
c_unparser_assignment::visit_arrayindex, //0, //fche, //fche, //20050526, //translate.cxx, //2221
c_unparser_assignment::visit_symbol, //0, //graydon, //graydon, //20050720, //translate.cxx, //2079
delete_statement_operand_visitor::visit_arrayindex, //0, //graydon, //graydon, //20050809, //translate.cxx, //1632
delete_statement_operand_visitor::visit_symbol, //0, //graydon, //graydon, //20050809, //translate.cxx, //1619
